user_id,event_id,tier_id,price_paid,event_category,event_owner_id,event_date,user_gender,user_birth_date,interaction
usr_d07beff2,evt_2c43a663,tier_basic,86.5,Food,org_968cf58b,2025-02-25,Male,1979-03-27,1
usr_2b0480b1,evt_e46e09b0,tier_premium,149.34,Tech,org_50b83d50,2024-10-17,Male,1978-06-04,1
usr_ac6590c3,evt_75f2e9e2,tier_standard,24.55,Food,org_88c7b02e,2024-12-04,Male,1991-07-06,1
usr_34f2a7dd,evt_de79a15c,tier_premium,39.37,Tech,org_7e2a45ab,2024-12-08,Female,1972-02-02,1
usr_0bf9c75e,evt_b32348c7,tier_premium,162.62,Business,org_748b3480,2025-01-05,Non-binary,1975-03-02,1
usr_0c1b79bd,evt_39c775c4,tier_basic,58.46,Art,org_ab842f35,2025-02-24,Female,1976-12-15,1
usr_b31f6ac7,evt_18143950,tier_basic,46.25,Business,org_97fbb238,2024-10-04,Male,1983-01-03,1
usr_a9df3f8b,evt_3275e38f,tier_basic,100.37,Music,org_825e5dd6,2025-07-04,Female,1972-05-19,1
usr_830cd688,evt_d305918e,tier_basic,53.93,Tech,org_658b0f12,2025-02-12,Non-binary,1986-01-20,1
usr_ff1b5e1d,evt_2c238fd7,tier_standard,94.7,Food,org_f28e77d0,2025-04-17,Male,1984-06-03,1
usr_0efc38f5,evt_cbb4d912,tier_basic,194.67,Food,org_0878df24,2024-09-27,Female,1972-01-08,1
usr_312fac8f,evt_7212a670,tier_premium,78.36,Music,org_dba3a4b2,2025-06-23,Female,1987-01-18,1
usr_d46899fd,evt_3cbef25a,tier_standard,32.98,Tech,org_0152e0b4,2024-08-01,Female,2002-11-17,1
usr_bc299128,evt_c014225b,tier_standard,171.86,Food,org_bf8a8d53,2024-10-20,Female,1967-03-22,1
usr_3afacd40,evt_ab8f1654,tier_basic,91.82,Tech,org_8e46fa2d,2025-06-15,Male,1998-03-18,1
usr_4c073562,evt_cbb92ecd,tier_standard,115.31,Tech,org_3e698f3c,2025-05-11,Female,2000-03-06,1
usr_2b45e16b,evt_62fa129e,tier_standard,32.8,Sports,org_c4d3742f,2024-08-22,Female,1988-12-22,1
usr_d4f169af,evt_7fc4cf54,tier_basic,54.72,Business,org_8560b23d,2024-10-13,Female,2006-09-24,1
usr_0c13c7c6,evt_17f877f5,tier_standard,179.79,Music,org_365b7d66,2025-05-22,Non-binary,1975-11-19,1
usr_afa0ba93,evt_52b02ea5,tier_standard,67.94,Music,org_0ac22f8b,2024-09-28,Non-binary,1974-02-14,1
usr_ec44e3da,evt_82a90b45,tier_standard,68.82,Food,org_2d2e3fbb,2025-06-14,Non-binary,1985-03-04,1
usr_1a62ea33,evt_e9a53dd1,tier_basic,173.58,Sports,org_9f963185,2024-11-01,Female,1996-04-03,1
usr_c4e8ba12,evt_73c7aa8f,tier_standard,158.14,Tech,org_b8f2bf90,2024-10-03,Male,1998-12-25,1
usr_de79a84f,evt_bfa705b1,tier_premium,92.32,Food,org_53ca8aae,2025-04-15,Non-binary,1988-07-20,1
usr_48d8a6a7,evt_32caef8d,tier_standard,188.38,Tech,org_4e71ae44,2024-11-08,Female,1991-03-18,1
usr_d6ab8f98,evt_9bbc7020,tier_standard,186.2,Tech,org_e9997bc3,2025-02-02,Male,1980-09-19,1
usr_b9212cb2,evt_00f3a92d,tier_standard,165.19,Art,org_6fb82703,2025-04-01,Non-binary,1966-09-25,1
usr_3f183b22,evt_98691447,tier_premium,109.69,Art,org_7bb458a8,2024-08-28,Female,1978-02-22,1
usr_902b5a66,evt_07f1bf50,tier_standard,27.17,Sports,org_a3df552d,2024-08-01,Female,1997-10-03,1
usr_17f3fd26,evt_d39db07c,tier_basic,24.98,Art,org_b03c4a83,2024-09-29,Non-binary,1966-09-30,1
usr_9355ea3c,evt_f92d087b,tier_standard,165.12,Music,org_a135b7a1,2024-08-29,Non-binary,2004-02-15,1
usr_6d158e57,evt_d9b114e5,tier_standard,45.87,Business,org_bff61ca0,2025-01-17,Non-binary,1975-08-12,1
usr_f30d8809,evt_a34a9da3,tier_standard,113.05,Food,org_428420bb,2024-07-30,Female,1972-01-19,1
usr_5bba53b2,evt_cf6a43e7,tier_basic,158.97,Business,org_ac6a4827,2024-12-12,Female,1964-09-21,1
usr_ea68b754,evt_20e408e2,tier_premium,39.96,Tech,org_50cfcb52,2024-08-28,Male,1999-03-10,1
usr_61c0458c,evt_6060d2c8,tier_basic,184.94,Art,org_08ea7ce9,2025-01-06,Female,1990-12-25,1
usr_ca749fda,evt_c47fec82,tier_standard,26.49,Tech,org_fcb5d04d,2024-10-14,Male,1998-03-06,1
usr_1eb62f08,evt_c0905452,tier_basic,166.28,Sports,org_3435f870,2025-03-21,Female,1974-08-31,1
usr_3d81479c,evt_bf59ab11,tier_standard,51.62,Art,org_7bb7fbfd,2024-09-05,Male,1966-06-24,1
usr_f8f1f78e,evt_69e847b0,tier_standard,126.11,Sports,org_e173d6c7,2025-01-24,Non-binary,1973-05-02,1
usr_9836a25a,evt_fc27c016,tier_basic,83.61,Food,org_6e1cfb93,2024-12-20,Male,2002-11-18,1
usr_89099c38,evt_a0076d67,tier_basic,92.87,Sports,org_0250cb86,2024-07-23,Non-binary,2004-06-02,1
usr_6862945e,evt_e591c098,tier_standard,90.34,Music,org_ce877847,2025-07-09,Male,1997-01-01,1
usr_1702cec0,evt_a527cff0,tier_premium,128.49,Food,org_c1b34bcc,2024-09-26,Female,1987-08-18,1
usr_96da9e5f,evt_43b36d99,tier_premium,198.33,Tech,org_4486d588,2025-06-08,Female,1982-03-20,1
usr_cd428435,evt_c4ba0790,tier_basic,199.99,Food,org_cd295b85,2025-03-20,Female,1965-07-21,1
usr_eee28332,evt_619454ac,tier_basic,180.66,Sports,org_fc35b429,2025-02-26,Female,1996-08-14,1
usr_e72cf93e,evt_84779faf,tier_standard,182.25,Business,org_203911c2,2024-10-21,Female,1977-05-24,1
usr_946ac97f,evt_b4758ac4,tier_basic,105.92,Tech,org_d0c46c41,2025-07-15,Male,1977-10-24,1
usr_74d092a1,evt_47545e48,tier_standard,42.65,Tech,org_2cbd2242,2025-02-05,Non-binary,1980-06-10,1
usr_ba64ff9b,evt_dd75248a,tier_basic,36.31,Tech,org_88384f16,2025-06-13,Female,1966-10-09,1
usr_b6192f01,evt_5920aa69,tier_basic,16.81,Sports,org_b3b3f283,2025-01-04,Male,1988-12-26,1
usr_cd21fbde,evt_e5009e3c,tier_basic,10.59,Food,org_57936097,2024-08-31,Non-binary,1979-01-31,1
usr_ca273a82,evt_67f59391,tier_premium,168.18,Business,org_e99d71b5,2024-11-28,Non-binary,1985-07-02,1
usr_9521a022,evt_5a3f5911,tier_basic,102.12,Business,org_36ad9301,2025-02-05,Male,1965-04-03,1
usr_0f8bee83,evt_ea19c21d,tier_basic,62.09,Art,org_5cbaa537,2025-04-02,Male,2003-11-06,1
usr_c25bcc2d,evt_6b272a7a,tier_basic,130.25,Tech,org_877d7e7d,2024-11-14,Non-binary,1966-05-06,1
usr_f5efb0bb,evt_7cc47ec3,tier_basic,97.78,Food,org_dd65c737,2024-12-24,Non-binary,1978-04-15,1
usr_9507206f,evt_1d0a5a32,tier_basic,32.43,Business,org_0c1d1ddd,2024-10-17,Non-binary,1991-09-19,1
usr_5c9f482b,evt_7babb798,tier_standard,190.58,Art,org_beac7954,2025-03-08,Female,2000-11-15,1
usr_005e179d,evt_43de5b13,tier_basic,44.08,Sports,org_9e6d9f4d,2024-09-14,Male,1996-08-18,1
usr_59cf0f19,evt_656e35ca,tier_standard,52.67,Art,org_7a190a7c,2024-10-10,Female,1992-05-29,1
usr_29ca63b8,evt_4eb09869,tier_basic,126.23,Art,org_bd5cbb39,2024-08-27,Male,2001-05-03,1
usr_4bd7b539,evt_998dcc9e,tier_basic,29.36,Sports,org_97fb1348,2024-12-06,Non-binary,1983-07-26,1
usr_8a04bfcd,evt_528f5fe3,tier_premium,101.48,Sports,org_ee3af92a,2024-11-18,Male,1967-07-21,1
usr_0082fc02,evt_92634755,tier_premium,67.95,Sports,org_d32bccd8,2024-09-12,Non-binary,1990-11-22,1
usr_bd72bdb1,evt_0929c024,tier_basic,166.47,Art,org_5cdb004b,2025-04-12,Non-binary,1979-02-07,1
usr_d23190a8,evt_88b2b433,tier_premium,167.97,Business,org_e5d73187,2024-09-15,Non-binary,2004-08-02,1
usr_ffb2ff3b,evt_32dad3ef,tier_basic,182.91,Sports,org_128b447c,2025-05-05,Female,1970-08-12,1
usr_4a2ba2f5,evt_3acc5842,tier_premium,67.18,Sports,org_401a2ee3,2024-11-22,Female,1985-09-09,1
usr_4e55f222,evt_69beda8c,tier_standard,36.05,Art,org_861b5a06,2024-11-06,Non-binary,1993-12-30,1
usr_c95eedd3,evt_7366b0fd,tier_standard,173.76,Art,org_8e870eb6,2025-05-12,Male,1996-01-18,1
usr_65939f84,evt_7f0281d9,tier_basic,34.52,Sports,org_65519fb7,2025-01-30,Male,1992-06-17,1
usr_d075046a,evt_b82ebf6a,tier_basic,47.83,Tech,org_b94bace1,2024-11-04,Non-binary,1966-11-18,1
usr_5ea386e7,evt_5b074cb0,tier_basic,176.57,Business,org_b18abb2c,2025-06-04,Non-binary,2006-08-16,1
usr_bbcdfda0,evt_9e3547d4,tier_standard,172.62,Sports,org_a41103d3,2025-05-17,Non-binary,1966-06-22,1
usr_fb505372,evt_1125483d,tier_premium,100.17,Business,org_4096de9a,2024-09-13,Female,1971-09-06,1
usr_c0e45948,evt_c3b35f33,tier_standard,51.92,Tech,org_3d896dac,2024-11-15,Female,1980-08-20,1
usr_e849e11f,evt_78e29d71,tier_basic,135.69,Food,org_f25b2441,2025-01-08,Non-binary,1983-04-03,1
usr_e40d1331,evt_cef78deb,tier_premium,159.86,Tech,org_7959fe04,2024-08-14,Male,1999-03-11,1
usr_b0973af4,evt_4f0a31f3,tier_premium,131.49,Tech,org_d549ee43,2024-11-14,Non-binary,1967-12-22,1
usr_cca35ed5,evt_6bc82b04,tier_premium,48.23,Music,org_42839d2d,2025-04-05,Female,1994-07-15,1
usr_63709d40,evt_55822b5a,tier_basic,78.03,Tech,org_30f5d31d,2024-09-25,Non-binary,1980-04-22,1
usr_8866c1d7,evt_b14180c9,tier_basic,180.38,Food,org_e754b039,2025-01-05,Non-binary,2002-09-28,1
usr_cf6dd836,evt_0a955452,tier_premium,129.47,Business,org_839678e8,2024-09-16,Female,2005-05-27,1
usr_48aaf359,evt_a343587c,tier_basic,170.98,Food,org_84e08aaa,2024-11-02,Male,1984-08-19,1
usr_99bdd6d8,evt_68073e3f,tier_basic,141.83,Business,org_56adeb6e,2024-10-08,Non-binary,1982-04-09,1
usr_547df874,evt_8362d53b,tier_basic,163.27,Sports,org_43a79f11,2024-12-23,Male,2001-03-10,1
usr_6952d01c,evt_49c24d68,tier_premium,119.47,Sports,org_a32ca8eb,2025-06-25,Male,1993-03-06,1
usr_1318478f,evt_f7211dbe,tier_basic,11.45,Music,org_ee50c520,2025-07-20,Female,1989-08-05,1
usr_b2613621,evt_bbeadfcc,tier_premium,95.71,Food,org_d2af16b1,2024-11-04,Female,1972-06-14,1
usr_b73ee611,evt_b5ca83f4,tier_premium,86.04,Music,org_9bbfb533,2025-06-11,Male,1977-02-06,1
usr_45fadfea,evt_ecd97387,tier_standard,182.45,Tech,org_8439b537,2025-01-26,Non-binary,1977-06-27,1
usr_801adc03,evt_740cd0fd,tier_basic,107.55,Business,org_a12473c7,2025-05-02,Female,1969-12-22,1
usr_fc15e980,evt_4ea52dfa,tier_basic,56.39,Tech,org_af232088,2024-08-06,Non-binary,2003-03-05,1
usr_994271c4,evt_2fd4d367,tier_standard,191.51,Food,org_68da0abb,2025-02-24,Male,1982-05-23,1
usr_81c9e4c5,evt_982cb985,tier_standard,64.82,Business,org_039f7839,2025-04-08,Non-binary,1993-12-25,1
usr_efdc9ff0,evt_85563050,tier_basic,30.36,Sports,org_3aeefa00,2025-01-29,Non-binary,1986-05-04,1
