user_id,event_id,tier_id,price_paid,event_category,event_owner_id,event_date,user_gender,user_birth_date,interaction
usr_7de8c5ad,evt_4a3fd306,tier_basic,185.46,Food,org_56f351e2,2025-03-14,Male,2000-06-21,1
usr_7de8c5ad,evt_89a36d0f,tier_premium,197.02,Tech,org_78cedd62,2025-09-01,Non-binary,1977-02-25,1
usr_7de8c5ad,evt_e76d385b,tier_basic,128.56,Food,org_519e33bb,2024-10-21,Non-binary,2000-05-05,1
usr_7de8c5ad,evt_452082ea,tier_standard,19.54,Tech,org_db680007,2024-08-24,Female,1994-05-02,1
usr_7de8c5ad,evt_7623447b,tier_standard,77.85,Tech,org_97adfec6,2025-08-07,Female,1988-07-01,1
usr_7de8c5ad,evt_0dcfe3e0,tier_premium,66.39,Art,org_014e4898,2025-03-10,Non-binary,1986-02-23,1
usr_7de8c5ad,evt_d03ec811,tier_premium,190.3,Health,org_8a1327a7,2024-10-20,Non-binary,1987-11-10,1
usr_6310a3a2,evt_21c87264,tier_premium,107.81,Business,org_ba53537c,2024-09-17,Non-binary,1991-11-04,1
usr_6310a3a2,evt_d03ec811,tier_basic,170.14,Food,org_08286e4d,2025-07-16,Male,2006-09-03,1
usr_6310a3a2,evt_9be76ebc,tier_basic,36.98,Business,org_5edfc309,2025-10-13,Male,1997-11-07,1
usr_6310a3a2,evt_7a56b3cc,tier_standard,72.78,Tech,org_a827e2f2,2024-12-06,Female,1988-01-14,1
usr_6310a3a2,evt_0907d417,tier_basic,129.06,Tech,org_2b7b8db2,2025-08-08,Male,1969-05-29,1
usr_6310a3a2,evt_7b9357d6,tier_premium,52.61,Tech,org_337df6da,2025-05-01,Male,1977-01-18,1
usr_6310a3a2,evt_d6ad32f6,tier_basic,145.6,Food,org_ac28b7dc,2025-10-01,Female,1992-04-29,1
usr_06dc2a29,evt_7e6f1a48,tier_premium,57.8,Art,org_009830cb,2025-02-22,Non-binary,1978-05-30,1
usr_06dc2a29,evt_920809fc,tier_standard,107.05,Food,org_ade3944c,2024-11-07,Male,2007-04-20,1
usr_06dc2a29,evt_727bc77f,tier_standard,150.58,Health,org_0f96762d,2024-10-16,Female,2003-11-29,1
usr_06dc2a29,evt_ffcc5d7a,tier_basic,97.7,Business,org_08286e4d,2025-09-20,Non-binary,1997-09-30,1
usr_06dc2a29,evt_052bf968,tier_premium,187.92,Business,org_eee2dcae,2024-08-13,Non-binary,1995-09-01,1
usr_06dc2a29,evt_12acbc12,tier_basic,189.1,Art,org_04c47d39,2024-08-15,Male,2000-09-24,1
usr_06dc2a29,evt_0907d417,tier_premium,184.04,Tech,org_6ba8e06f,2024-11-10,Male,1968-08-01,1
usr_06dc2a29,evt_5073e410,tier_premium,39.36,Health,org_014e4898,2025-08-19,Female,1994-08-11,1
usr_2f4a6694,evt_df855910,tier_standard,148.43,Business,org_81063273,2024-08-11,Female,1979-12-18,1
usr_2f4a6694,evt_25f24b73,tier_premium,156.38,Business,org_c54b3d0b,2024-09-29,Female,1990-12-08,1
usr_2f4a6694,evt_a408de79,tier_premium,194.35,Business,org_6c48832f,2024-12-12,Male,1984-11-19,1
usr_2f4a6694,evt_abe5043e,tier_basic,176.44,Food,org_320a68fa,2025-10-20,Female,1978-06-30,1
usr_2f4a6694,evt_87cb0360,tier_standard,130.12,Food,org_320a68fa,2025-10-07,Male,1982-12-24,1
usr_96d0006f,evt_1e94910a,tier_premium,196.07,Health,org_776ef20c,2024-09-27,Non-binary,1997-06-09,1
usr_96d0006f,evt_5aa06fad,tier_basic,97.75,Food,org_823d63af,2024-07-24,Female,1966-01-08,1
usr_96d0006f,evt_ec3cdb89,tier_standard,72.91,Tech,org_ba53537c,2025-05-03,Male,1994-11-30,1
usr_96d0006f,evt_64e92cd3,tier_premium,16.08,Business,org_11673208,2025-08-16,Male,1972-06-12,1
usr_96d0006f,evt_d6f8080e,tier_standard,151.53,Art,org_ba53537c,2024-09-12,Male,1994-06-27,1
usr_d9ebb6cf,evt_83333f3b,tier_basic,103.52,Health,org_6ba8e06f,2024-10-12,Male,1996-10-01,1
usr_d9ebb6cf,evt_2e8a7c32,tier_premium,85.84,Business,org_ba53537c,2024-10-23,Male,1986-11-08,1
usr_d9ebb6cf,evt_259af91f,tier_basic,141.19,Tech,org_d6fec5b3,2025-09-29,Non-binary,1986-11-25,1
usr_d9ebb6cf,evt_76c91124,tier_premium,61.87,Tech,org_009830cb,2025-02-18,Female,2002-01-15,1
usr_f538e9ad,evt_c84b8d1b,tier_standard,112.45,Art,org_7d8b2118,2025-06-01,Female,1973-01-01,1
usr_f538e9ad,evt_f72e6dcf,tier_standard,84.02,Tech,org_5b2ec972,2025-04-20,Non-binary,1989-10-30,1
usr_f538e9ad,evt_a1fec1d6,tier_basic,190.63,Tech,org_d6d4fcaf,2024-10-08,Male,2002-07-19,1
usr_f538e9ad,evt_7623447b,tier_premium,108.4,Health,org_f3465f98,2025-08-19,Female,1985-03-19,1
usr_f538e9ad,evt_30e3367e,tier_premium,189.8,Health,org_57014058,2025-07-10,Male,1974-10-14,1
usr_f538e9ad,evt_d7ae33a2,tier_premium,55.34,Business,org_57014058,2025-05-12,Male,1976-08-21,1
usr_f538e9ad,evt_df855910,tier_premium,125.69,Health,org_b62edfdf,2024-12-17,Non-binary,1990-11-22,1
