event_id,category,popularity_score,event_date,is_weekend
event_0,Sports,0.96,2025-09-06,True
event_1,Movie,0.2,2025-08-04,False
event_2,Movie,0.95,2025-07-29,False
event_3,Movie,0.99,2025-09-13,True
event_4,Theater,0.71,2025-08-14,False
event_5,Movie,0.98,2025-08-12,False
event_6,Workshop,0.57,2025-08-11,False
event_7,Sports,0.26,2025-08-05,False
event_8,Movie,0.44,2025-09-13,True
event_9,Music,0.59,2025-08-03,True
event_10,Theater,0.07,2025-09-09,False
event_11,Workshop,0.62,2025-09-13,True
event_12,Music,0.98,2025-09-23,False
event_13,Music,0.19,2025-08-31,True
event_14,Music,0.79,2025-08-02,True
event_15,Music,0.91,2025-09-03,False
event_16,Sports,0.94,2025-08-24,True
event_17,Movie,0.96,2025-07-30,False
event_18,Festival,0.52,2025-07-29,False
event_19,Sports,0.98,2025-08-02,True
event_20,Sports,0.76,2025-08-10,True
event_21,Workshop,0.16,2025-08-11,False
event_22,Workshop,0.48,2025-08-29,False
event_23,Movie,0.72,2025-09-04,False
event_24,Festival,0.25,2025-07-29,False
event_25,Workshop,0.64,2025-09-01,False
event_26,Movie,0.67,2025-08-09,True
event_27,Movie,0.16,2025-09-11,False
event_28,Tech,0.57,2025-09-07,True
event_29,Festival,0.77,2025-09-10,False
event_30,Workshop,0.5,2025-08-31,True
event_31,Festival,0.01,2025-08-23,True
event_32,Sports,0.01,2025-08-11,False
event_33,Sports,0.36,2025-08-25,False
event_34,Festival,0.93,2025-09-03,False
event_35,Tech,0.23,2025-08-14,False
event_36,Tech,0.63,2025-09-17,False
event_37,Festival,0.22,2025-09-21,True
event_38,Workshop,0.32,2025-07-28,False
event_39,Theater,0.85,2025-09-14,True
event_40,Tech,0.73,2025-09-17,False
event_41,Music,0.1,2025-08-07,False
event_42,Sports,0.43,2025-09-10,False
event_43,Festival,0.03,2025-08-24,True
event_44,Music,0.48,2025-08-18,False
event_45,Festival,0.66,2025-08-14,False
event_46,Movie,0.12,2025-08-06,False
event_47,Sports,0.29,2025-08-10,True
event_48,Sports,0.4,2025-09-14,True
event_49,Tech,0.92,2025-08-18,False
event_50,Tech,0.99,2025-08-03,True
event_51,Music,0.04,2025-08-02,True
event_52,Movie,0.76,2025-08-21,False
event_53,Festival,0.37,2025-08-03,True
event_54,Movie,0.39,2025-08-19,False
event_55,Sports,0.75,2025-09-20,True
event_56,Music,0.92,2025-08-19,False
event_57,Theater,0.95,2025-09-04,False
event_58,Music,0.58,2025-08-13,False
event_59,Workshop,0.36,2025-09-17,False
event_60,Music,0.79,2025-07-30,False
event_61,Movie,0.25,2025-09-12,False
event_62,Workshop,0.56,2025-08-26,False
event_63,Workshop,0.36,2025-08-31,True
event_64,Workshop,0.66,2025-08-04,False
event_65,Theater,0.24,2025-09-25,False
event_66,Music,0.19,2025-08-21,False
event_67,Movie,0.92,2025-08-02,True
event_68,Music,0.1,2025-09-01,False
event_69,Theater,0.51,2025-08-15,False
event_70,Sports,0.22,2025-09-19,False
event_71,Tech,0.04,2025-09-06,True
event_72,Movie,0.04,2025-09-05,False
event_73,Movie,0.18,2025-09-22,False
event_74,Music,0.87,2025-09-21,True
event_75,Tech,0.28,2025-08-20,False
event_76,Festival,0.95,2025-09-02,False
event_77,Festival,0.58,2025-08-09,True
event_78,Theater,0.44,2025-09-11,False
event_79,Festival,0.58,2025-08-01,False
event_80,Movie,0.52,2025-07-30,False
event_81,Festival,0.76,2025-09-08,False
event_82,Sports,0.28,2025-08-11,False
event_83,Sports,0.35,2025-09-15,False
