user_id,gender,age_group,role
user_0,male,26-35,attendee
user_1,female,26-35,attendee
user_2,male,26-35,attendee
user_3,male,36-50,attendee
user_4,male,26-35,attendee
user_5,female,18-25,attendee
user_6,male,50+,attendee
user_7,male,36-50,attendee
user_8,male,50+,attendee
user_9,female,36-50,attendee
user_10,male,26-35,attendee
user_11,male,26-35,attendee
user_12,male,50+,organizer
user_13,male,36-50,attendee
user_14,female,18-25,attendee
user_15,male,18-25,attendee
user_16,female,26-35,attendee
user_17,female,36-50,attendee
user_18,female,50+,attendee
user_19,male,18-25,organizer
user_20,female,26-35,attendee
user_21,male,26-35,organizer
user_22,female,50+,attendee
user_23,female,36-50,attendee
user_24,female,36-50,attendee
user_25,female,26-35,attendee
user_26,female,26-35,attendee
user_27,female,18-25,attendee
user_28,female,18-25,attendee
user_29,female,36-50,attendee
user_30,male,36-50,attendee
user_31,male,50+,attendee
user_32,female,50+,attendee
user_33,female,26-35,attendee
user_34,female,36-50,attendee
user_35,male,50+,attendee
user_36,female,36-50,attendee
user_37,male,18-25,attendee
user_38,male,26-35,attendee
user_39,male,18-25,attendee
user_40,male,50+,attendee
user_41,male,26-35,attendee
user_42,female,18-25,attendee
user_43,female,26-35,attendee
user_44,female,26-35,organizer
user_45,female,26-35,attendee
user_46,female,18-25,attendee
user_47,male,26-35,attendee
user_48,female,26-35,attendee
user_49,female,36-50,attendee
user_50,male,26-35,organizer
user_51,female,36-50,attendee
user_52,male,26-35,attendee
user_53,female,26-35,attendee
user_54,male,36-50,attendee
user_55,female,26-35,attendee
user_56,female,18-25,attendee
user_57,male,18-25,attendee
user_58,male,36-50,attendee
user_59,male,26-35,organizer
user_60,male,36-50,attendee
user_61,male,18-25,attendee
user_62,male,18-25,attendee
user_63,male,18-25,attendee
user_64,male,26-35,attendee
user_65,female,26-35,attendee
user_66,female,26-35,attendee
user_67,male,26-35,attendee
user_68,female,50+,attendee
user_69,female,26-35,attendee
user_70,female,26-35,attendee
user_71,female,36-50,attendee
user_72,male,26-35,attendee
user_73,female,26-35,attendee
user_74,male,36-50,attendee
user_75,female,50+,attendee
user_76,female,18-25,attendee
user_77,female,50+,attendee
user_78,male,26-35,attendee
user_79,female,18-25,attendee
user_80,male,26-35,attendee
user_81,female,50+,attendee
user_82,male,26-35,attendee
user_83,female,26-35,attendee
user_84,male,26-35,organizer
user_85,male,18-25,attendee
user_86,female,18-25,attendee
user_87,male,18-25,attendee
user_88,female,18-25,attendee
user_89,female,18-25,attendee
user_90,female,18-25,attendee
user_91,female,26-35,organizer
user_92,female,18-25,attendee
user_93,female,26-35,attendee
user_94,female,36-50,attendee
user_95,female,26-35,attendee
user_96,female,26-35,attendee
user_97,female,18-25,attendee
user_98,female,18-25,attendee
user_99,male,18-25,attendee
user_100,male,18-25,attendee
user_101,female,18-25,attendee
user_102,female,18-25,attendee
user_103,female,18-25,attendee
user_104,female,18-25,attendee
user_105,female,26-35,attendee
user_106,female,18-25,attendee
user_107,female,26-35,attendee
user_108,female,26-35,attendee
user_109,male,26-35,attendee
user_110,female,18-25,attendee
user_111,male,36-50,attendee
user_112,female,26-35,attendee
user_113,female,18-25,attendee
user_114,male,36-50,attendee
user_115,female,50+,attendee
user_116,male,18-25,organizer
user_117,female,18-25,attendee
user_118,female,36-50,attendee
user_119,male,36-50,attendee
user_120,female,18-25,attendee
user_121,male,18-25,attendee
user_122,female,26-35,attendee
user_123,male,26-35,organizer
user_124,male,26-35,attendee
user_125,female,26-35,attendee
user_126,female,26-35,attendee
user_127,male,36-50,attendee
user_128,female,18-25,attendee
user_129,female,18-25,attendee
user_130,female,36-50,attendee
user_131,male,36-50,attendee
user_132,male,26-35,attendee
user_133,male,26-35,attendee
user_134,male,18-25,organizer
user_135,male,26-35,attendee
user_136,male,26-35,attendee
user_137,male,18-25,attendee
user_138,male,18-25,organizer
user_139,male,26-35,organizer
user_140,female,18-25,attendee
user_141,male,26-35,attendee
user_142,female,18-25,attendee
user_143,female,26-35,attendee
user_144,female,18-25,attendee
user_145,male,36-50,attendee
user_146,male,26-35,attendee
user_147,male,26-35,attendee
user_148,male,36-50,attendee
user_149,female,26-35,attendee
user_150,male,18-25,attendee
user_151,male,26-35,attendee
user_152,male,26-35,attendee
user_153,male,36-50,attendee
user_154,male,26-35,attendee
